parameter	value
hmp_airskin_dynamic_sample_scoring	score_hmp_gtdb_source_abundance.py can now score dynamic HMP airskin sample IDs by constructing standard paths under /tmp/minco_current_code_hmp_airskin${sample}_20260627 and /tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232, while still honoring explicit --minco-sampleN and --sylph-sampleN overrides.
hmp_airskin22_same_release_result	Sample22 selected-source FASTQ was restored by streaming 25 BAMs from the CAMI II archive; restore runtime 6:48.32 and 11,264 kB RSS. Current MinCO universal-auto-exact sample22 runtime 3:28.88 and 3,764,272 kB RSS; Sylph r232 sketch+chunked profile runtime 3:59.34 and max 27,163,848 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.644068, L1=20.648591 pp, Pearson=0.988592; Sylph F1=0.909091, L1=6.043692 pp, Pearson=0.997079. The corrected 4-sample HMP airskin panel samples6/11/22/28 gives MinCO F1=0.863768, L1=21.140591 pp, Pearson=0.957213 versus Sylph F1=0.943336, L1=4.528518 pp, Pearson=0.997539.
hmp_airskin5_same_release_result	Sample5 selected-source FASTQ was restored by streaming 39 BAMs from the CAMI II archive; restore runtime 8:07.59 and 11,264 kB RSS. Current MinCO universal-auto-exact sample5 runtime 3:32.57 and 3,811,504 kB RSS; Sylph r232 sketch+chunked profile runtime 2:52.33 and max 27,170,992 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.961538, L1=10.337736 pp, Pearson=0.998382; Sylph F1=0.943396, L1=5.965327 pp, Pearson=0.998278. The corrected 5-sample HMP airskin panel samples5/6/11/22/28 gives MinCO F1=0.883322, L1=18.980020 pp, Pearson=0.965447 versus Sylph F1=0.943348, L1=4.815880 pp, Pearson=0.997687.
hmp_airskin0_same_release_result	Sample0 selected-source FASTQ was restored by streaming 44 source BAMs from the CAMI II archive; restore runtime 6:35.72 and 11,264 kB RSS. Current MinCO universal-auto-exact sample0 runtime 3:33.54 and 3,963,224 kB RSS; Sylph r232 sketch+profile runtime 3:18.89 and max 27,177,688 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.840580, L1=18.780365 pp, Pearson=0.989504; Sylph F1=0.903226, L1=2.510444 pp, Pearson=0.999779. The 6-sample HMP airskin panel samples0/5/6/11/22/28 gives MinCO F1=0.876198, L1=18.946744 pp, Pearson=0.969457 versus Sylph F1=0.936661, L1=4.431641 pp, Pearson=0.998036.
hmp_airskin21_same_release_result	Sample21 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming 47 source BAMs from the CAMI II archive; restore runtime 6:45.19 and 11,264 kB RSS. Current MinCO universal-auto-exact sample21 runtime 3:32.88 and 4,001,584 kB RSS; Sylph r232 sketch+profile runtime 3:30.07 and max 27,181,760 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.880000, L1=34.744967 pp, Pearson=0.962690; Sylph F1=0.970588, L1=2.197983 pp, Pearson=0.999889. The 7-sample HMP airskin panel samples0/5/6/11/21/22/28 gives MinCO F1=0.876741, L1=21.203633 pp, Pearson=0.968490 versus Sylph F1=0.941508, L1=4.112547 pp, Pearson=0.998300.
hmp_airskin18_same_release_result	Sample18 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming 51 source BAMs from the CAMI II archive; restore runtime 6:01.23 and 11,264 kB RSS. Current MinCO universal-auto-exact sample18 runtime 3:31.30 and 3,819,440 kB RSS; Sylph r232 sketch+profile runtime 2:15.22 and max 27,162,472 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.943396, L1=12.023035 pp, Pearson=0.994733; Sylph F1=1.000000, L1=1.882765 pp, Pearson=0.999930. The corrected 8-sample HMP airskin panel samples0/5/6/11/18/21/22/28 gives MinCO F1=0.885073, L1=20.056058 pp, Pearson=0.971770 versus Sylph F1=0.948819, L1=3.833824 pp, Pearson=0.998504.
hmp_airskin13_same_release_result	Sample13 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming 136 mapped source BAMs from the CAMI II archive; restore runtime 6:12.98 and 11,264 kB RSS. Current MinCO universal-auto-exact sample13 runtime 1:40.59 and 3,431,608 kB RSS; Sylph r232 sketch+profile runtime 3:20.23 and max 27,154,424 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.925000, L1=54.747984 pp, Pearson=0.910524; Sylph F1=0.987654, L1=8.344359 pp, Pearson=0.997403. The corrected 9-sample HMP airskin panel samples0/5/6/11/13/18/21/22/28 gives MinCO F1=0.889510, L1=23.910717 pp, Pearson=0.964965 versus Sylph F1=0.953134, L1=4.334995 pp, Pearson=0.998382.
hmp_airskin25_same_release_result	Sample25 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:38.23 and 11,136 kB RSS. Current MinCO universal-auto-exact sample25 runtime 3:34.91 and 3,939,252 kB RSS; Sylph r232 sketch+profile runtime 3:10.13 and max 27,184,872 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.720000, L1=23.876830 pp, Pearson=0.984476; Sylph F1=0.969072, L1=4.836648 pp, Pearson=0.998867. The corrected 10-sample HMP airskin panel samples0/5/6/11/13/18/21/22/25/28 gives MinCO F1=0.872559, L1=23.907328 pp, Pearson=0.966916 versus Sylph F1=0.954728, L1=4.385160 pp, Pearson=0.998430.
hmp_airskin3_same_release_result	Sample3 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:27.53 and 11,264 kB RSS. Current MinCO universal-auto-exact sample3 runtime 3:30.24 and 3,688,364 kB RSS; Sylph r232 sketch+profile runtime 2:23.51 and max 27,160,752 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.957447, L1=12.670667 pp, Pearson=0.997025; Sylph F1=0.989247, L1=2.961929 pp, Pearson=0.999926. The corrected 11-sample HMP airskin panel samples0/3/5/6/11/13/18/21/22/25/28 gives MinCO F1=0.880276, L1=22.885814 pp, Pearson=0.969653 versus Sylph F1=0.957866, L1=4.255775 pp, Pearson=0.998566.
hmp_airskin1_same_release_result	Sample1 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:41.29 and 11,264 kB RSS. Current MinCO universal-auto-exact sample1 runtime 3:33.32 and 3,873,456 kB RSS; Sylph r232 sketch+profile runtime 3:10.56 and max 27,163,132 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.680000, L1=18.105884 pp, Pearson=0.997394; Sylph F1=0.990291, L1=2.178406 pp, Pearson=0.999907. The corrected 12-sample HMP airskin panel samples0/1/3/5/6/11/13/18/21/22/25/28 gives MinCO F1=0.863586, L1=22.487486 pp, Pearson=0.971965 versus Sylph F1=0.960568, L1=4.082661 pp, Pearson=0.998678.
hmp_airskin17_same_release_result	Sample17 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:38.61 and 11,264 kB RSS. Current MinCO universal-auto-exact sample17 runtime 3:31.93 and 3,839,524 kB RSS; Sylph r232 sketch+profile runtime 2:59.16 and max 27,164,768 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.773109, L1=26.525181 pp, Pearson=0.996010; Sylph F1=0.978723, L1=1.872577 pp, Pearson=0.999967. The corrected 13-sample HMP airskin panel samples0/1/3/5/6/11/13/17/18/21/22/25/28 gives MinCO F1=0.856626, L1=22.798078 pp, Pearson=0.973815 versus Sylph F1=0.961965, L1=3.912655 pp, Pearson=0.998777.
hmp_airskin24_same_release_result	Sample24 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:44.30 and 11,264 kB RSS. Current MinCO universal-auto-exact sample24 runtime 3:30.53 and 3,613,232 kB RSS; Sylph r232 sketch+profile runtime 2:33.08 and max 27,169,636 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.909091, L1=13.776347 pp, Pearson=0.994696; Sylph F1=0.915254, L1=4.668799 pp, Pearson=0.999353. The corrected 14-sample HMP airskin panel samples0/1/3/5/6/11/13/17/18/21/22/24/25/28 gives MinCO F1=0.860374, L1=22.153669 pp, Pearson=0.975306 versus Sylph F1=0.958628, L1=3.966665 pp, Pearson=0.998818.
hmp_airskin16_same_release_result	Sample16 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 8:11.14 and 11,264 kB RSS. Current MinCO universal-auto-exact sample16 runtime 3:29.27 and 3,636,720 kB RSS; Sylph r232 sketch+profile runtime 2:55.53 and max 27,142,948 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=1.000000, L1=6.914590 pp, Pearson=0.999835; Sylph F1=1.000000, L1=1.288589 pp, Pearson=0.999960. The corrected 15-sample HMP airskin panel samples0/1/3/5/6/11/13/16/17/18/21/22/24/25/28 gives MinCO F1=0.869682, L1=21.137730 pp, Pearson=0.976941 versus Sylph F1=0.961386, L1=3.788127 pp, Pearson=0.998894.
hmp_airskin15_same_release_result	Sample15 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:27.43 and 11,264 kB RSS. Current MinCO universal-auto-exact sample15 runtime 3:30.25 and 3,691,312 kB RSS; Sylph r232 sketch+profile runtime 2:54.23 and max 27,147,624 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.913043, L1=8.896280 pp, Pearson=0.999525; Sylph F1=0.938776, L1=0.978464 pp, Pearson=0.999984. The corrected 16-sample HMP airskin panel samples0/1/3/5/6/11/13/15/16/17/18/21/22/24/25/28 gives MinCO F1=0.872392, L1=20.372639 pp, Pearson=0.978353 versus Sylph F1=0.959973, L1=3.612523 pp, Pearson=0.998962.
hmp_airskin4_same_release_result	Sample4 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:35.00 and 11,264 kB RSS. Current MinCO universal-auto-exact sample4 runtime 3:36.19 and 3,950,380 kB RSS; Sylph r232 sketch+profile runtime 2:25.11 and max 27,236,604 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.839506, L1=28.726741 pp, Pearson=0.988378; Sylph F1=0.971963, L1=4.592948 pp, Pearson=0.999771. The corrected 17-sample HMP airskin panel samples0/1/3/4/5/6/11/13/15/16/17/18/21/22/24/25/28 gives MinCO F1=0.870458, L1=20.864057 pp, Pearson=0.978943 versus Sylph F1=0.960679, L1=3.670195 pp, Pearson=0.999010.
hmp_airskin23_same_release_result	Sample23 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:32.89 and 11,264 kB RSS. Current MinCO universal-auto-exact sample23 runtime 3:33.17 and 3,732,784 kB RSS; Sylph r232 sketch+profile runtime 3:03.23 and max 27,169,836 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.898551, L1=28.419232 pp, Pearson=0.984447; Sylph F1=0.969697, L1=20.895611 pp, Pearson=0.983133. The corrected 18-sample HMP airskin panel samples0/1/3/4/5/6/11/13/15/16/17/18/21/22/23/24/25/28 gives MinCO F1=0.872019, L1=21.283789 pp, Pearson=0.979248 versus Sylph F1=0.961180, L1=4.627162 pp, Pearson=0.998128.
hmp_airskin20_same_release_result	Sample20 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:41.98 and 11,264 kB RSS. Current MinCO universal-auto-exact sample20 runtime 3:35.20 and 3,943,344 kB RSS; Sylph r232 sketch+profile runtime 3:02.95 and max 27,234,152 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.821622, L1=25.952986 pp, Pearson=0.990482; Sylph F1=0.968153, L1=4.085099 pp, Pearson=0.999816. The corrected 19-sample HMP airskin panel samples0/1/3/4/5/6/11/13/15/16/17/18/20/21/22/23/24/25/28 gives MinCO F1=0.869366, L1=21.529536 pp, Pearson=0.979840 versus Sylph F1=0.961547, L1=4.598633 pp, Pearson=0.998217.
hmp_airskin7_same_release_result	Sample7 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:32.47 and 11,136 kB RSS. Current MinCO universal-auto-exact sample7 runtime 3:34.80 and 3,847,344 kB RSS; Sylph r232 sketch+profile runtime 2:23.57 and max 27,232,544 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.841463, L1=27.609400 pp, Pearson=0.987554; Sylph F1=0.960526, L1=5.205718 pp, Pearson=0.999444. The corrected 20-sample HMP airskin panel samples0/1/3/4/5/6/7/11/13/15/16/17/18/20/21/22/23/24/25/28 gives MinCO F1=0.867971, L1=21.833529 pp, Pearson=0.980225 versus Sylph F1=0.961496, L1=4.628987 pp, Pearson=0.998278.
hmp_airskin14_same_release_result	Sample14 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:30.26 and 11,264 kB RSS. Current MinCO universal-auto-exact sample14 runtime 3:31.61 and 3,759,664 kB RSS; Sylph r232 sketch+profile runtime 3:07.66 and max 27,161,108 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.862069, L1=14.824168 pp, Pearson=0.998636; Sylph F1=0.949153, L1=4.072864 pp, Pearson=0.999842. The corrected 21-sample HMP airskin panel samples0/1/3/4/5/6/7/11/13/14/15/16/17/18/20/21/22/23/24/25/28 gives MinCO F1=0.867690, L1=21.499750 pp, Pearson=0.981102 versus Sylph F1=0.960908, L1=4.602505 pp, Pearson=0.998353.
hmp_airskin9_same_release_result	Sample9 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:37.94 and 11,264 kB RSS. Current MinCO universal-auto-exact sample9 runtime 3:33.90 and 3,856,592 kB RSS; Sylph r232 sketch+profile runtime 3:03.06 and max 27,231,128 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.929293, L1=31.526930 pp, Pearson=0.986667; Sylph F1=0.973822, L1=7.687184 pp, Pearson=0.998098. The corrected 22-sample HMP airskin panel samples0/1/3/4/5/6/7/9/11/13/14/15/16/17/18/20/21/22/23/24/25/28 gives MinCO F1=0.870490, L1=21.955531 pp, Pearson=0.981355 versus Sylph F1=0.961495, L1=4.742718 pp, Pearson=0.998341.
hmp_airskin10_same_release_result	Sample10 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:51.91 and 11,264 kB RSS. Current MinCO universal-auto-exact sample10 runtime 3:36.69 and 3,833,648 kB RSS; Sylph r232 sketch+profile runtime 2:21.70 and max 27,234,804 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.913043, L1=20.729208 pp, Pearson=0.988950; Sylph F1=0.941176, L1=11.172738 pp, Pearson=0.993135. The corrected 23-sample HMP airskin panel samples0/1/3/4/5/6/7/9/10/11/13/14/15/16/17/18/20/21/22/23/24/25/28 gives MinCO F1=0.872340, L1=21.902213 pp, Pearson=0.981685 versus Sylph F1=0.960611, L1=5.022284 pp, Pearson=0.998115.
hmp_airskin19_same_release_result	Sample19 selected-source FASTQ was restored under /mnt/new3T/minco_release_holdouts_20260628 by streaming mapped source BAMs from the CAMI II archive; restore runtime 5:55.37 and 11,136 kB RSS. Current MinCO universal-auto-exact sample19 runtime 3:37.65 and 4,044,720 kB RSS; Sylph r232 sketch+profile runtime 3:13.38 and max 27,232,320 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.806202, L1=37.173740 pp, Pearson=0.963409; Sylph F1=0.968326, L1=13.049354 pp, Pearson=0.994156. The corrected 24-sample HMP airskin panel samples0/1/3/4/5/6/7/9/10/11/13/14/15/16/17/18/19/20/21/22/23/24/25/28 gives MinCO F1=0.869584, L1=22.538526 pp, Pearson=0.980924 versus Sylph F1=0.960933, L1=5.356745 pp, Pearson=0.997950.
tmp_headroom_next_action	audit_tmp_headroom_for_next_action.py measured scratch space before running the corrected next omitted-route sample27 command. /tmp free space is 11.734 GiB; observed-footprint estimate is 6.531 GiB; conservative minimum recommended free space is 12.000 GiB. /tmp headroom_pass=false. Alternate work root /mnt/new3T/minco_release_holdouts_20260628 has 10.217 GiB free and alternate_headroom_pass=false, so recommended_action=free_tmp_space_before_next_sample.
tmp_cleanup_candidate_rule	tmp_cleanup_candidates.tsv lists manual-review candidates only; it does not delete files. Top candidates are old temporary read caches outside the current HMP next-action path and completed HMP FASTQs that can be regenerated from recorded commands if needed.
next_release_grade_action	After sample8 completed, plan_next_release_grade_actions.py now derives completed HMP samples from hmp_airskin_source_truth_candidate_audit.tsv and selects HMP airskin sample27 as the next omitted-route sample: truth_mapped_pct=94.72246785727798, source_genomes_positive=195, same_release_outputs=false. This is independent route-completion evidence, not a clean release-grade upgrade, because truth_mapped_pct is below 95%. The generated rerun artifact is results/hmp_airskin_next_release_sample_commands.sh. Current status is needs_tmp_cleanup_before_network_run because both /tmp and /mnt/new3T/minco_release_holdouts_20260628 fail the conservative scratch-space headroom gate.
next_release_grade_action_manifest	NEXT_RELEASE_GRADE_ACTIONS.md is the tracked Markdown recall file for the ranked next actions; results/next_release_grade_actions.tsv remains the ignored machine-readable table.
gtdb232_sylph_db_preflight	199923/199923 representative genome paths exist; compressed input 178.909 GiB; output parent free 91.497 GiB at latest preflight; disk heuristic pass; monolithic ready_to_build=true; chunked_output_complete=true with 20/20 chunks; total chunked output 24.097 GiB; max build RSS 2.616 GiB; HMP r232 chunked profile peak RSS 25.919 GiB; preflight_status=chunked_output_complete.
extended_nonrelease_panel_audit	Marine local and partial GTDB-transfer, plant, HMP gastrooral, HMP airskin source-abundance, and CAMI3 ToyGut C-direct panels are included as decision-boundary evidence, but the partial-transfer/local panels are not release-grade GTDB truth for promoting a broad universal Sylph-beating claim.
c_direct_profile_gap	C minco profile remains a conservative direct profiler; plant and CAMI3 ToyGut checks show lower recall than calibrated/full-candidate MinCO evidence, so the Python calibrated wrapper is the current no-manual-strategy species default candidate and C profile is the direct/domain path.
c_profile_boundary_documented	minco_core/src/command_profile_wrapper.c, README.md, docs/USER_MANUAL.md, and tests/smoke.sh now use/check "conservative direct" wording for minco profile so it is not mistaken for the calibrated universal-auto-exact default.
abundance_oracle_bounds_rule	Keep the current MinCO call set for F1 accounting; compute truth-aware abundance bounds over detected true species. oracle_fixed_calls_truth_mass assigns true abundance to true-positive calls and zero to false-positive calls without renormalization. oracle_fixed_calls_truth_renorm renormalizes detected true abundance over detected truth mass. oracle_current_tp_abundance_renorm keeps current MinCO abundance on true-positive calls, zeros false-positive calls, and renormalizes.
abundance_oracle_bounds_scoring	Use the same 32 GTDB panel samples and panel-specific official L1 convention as abundance_error_decomposition.py: Toy Mouse uses truth-only L1, HMP/CAMI3 source-transfer panels use union L1.
abundance_oracle_bounds_result	Fixed-call truth-renorm oracle: Toy Mouse L1 3.351852 pp vs Sylph 6.731523; HMP airskin 2.585540 pp vs Sylph 5.356745; HMP gastrooral 8.952874 pp vs Sylph 5.063129; CAMI3 source-readmap 41.833504 pp vs Sylph 32.632841. Mean recoverable current-minus-oracle L1 is 22.825403 pp; baseline validation max absolute delta is 5.684341886080802e-14.
missed_truth_candidate_high_threshold	1.0% truth abundance; used to flag high-abundance missed truth species in audit_missed_truth_candidates.py.
missed_truth_candidate_scope	Truth-aware diagnostic over emitted MinCO profile rows using the same GTDB mapping helpers as official scorers. Absence from the emitted profile does not prove absence from raw unique/split tables or in-pass candidate evidence.
missed_truth_candidate_result	High-abundance missed truth species visible in emitted profile rows: 9/19 overall. Profiles with uncalled candidate rows: 9/32. CAMI3 source-readmap high FNs visible 8/8; HMP airskin high FNs visible 1/10; HMP gastrooral high FNs visible 0/1. Decision diagnostic_only_not_default.
hmp_missed_truth_raw_table_scope	Follow-up only for high-abundance HMP false negatives absent from emitted profile rows. Raw unique/split/exact rows are mapped to GTDB species by reference accession using the same HMP source-abundance scorer helpers.
hmp_missed_truth_raw_table_result	Raw candidate visibility for profile-absent high-abundance HMP misses: 10/10. HMP airskin visible 9/9 with mean XnY 677.222222, mean breadth 0.232948, mean ANI 0.933001. HMP gastrooral visible 1/1 with XnY 958, breadth 0.751749, ANI 0.987029. Decision diagnostic_only_not_default.
hmp_raw_candidate_rescue_panels	hmp_airskin_gtdb_source_abundance samples0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28 plus hmp_gastrooral_gtdb_source_abundance samples0,6
hmp_raw_candidate_rescue_threshold_grid	ANI_MIN=0.90,0.92,0.93,0.94,0.95,0.97; XNY_MIN=100,300,500,700,900; REF_BREADTH_MIN=0.05,0.10,0.15,0.20,0.25,0.30,0.50; REAL_MIN_ALIGN_FRACTION_MIN=0.10,0.30,0.50,0.70,0.90
hmp_raw_candidate_rescue_scoring_modes	zero_rescue_mass and raw_depth_abundance
hmp_raw_candidate_rescue_current_call_mapping	current MinCO profile calls mapped to GTDB species through s_best_accession then u_best_accession using GTDB r232 metadata
hmp_raw_candidate_rescue_raw_cache	/tmp/minco_hmp_raw_candidate_cache; one best raw unique/split/exact row per GTDB species per sample
hmp_raw_candidate_rescue_prefilter	loose candidate prefilter uses min grid values and excludes species already called by current MinCO
hmp_raw_candidate_rescue_result	best HMP-only rule raw_rescue_ani0.9_xny100_br0.05_af0.7_zero_rescue_mass; mean_delta_F1=0.007757; TP_delta=13; FP_delta=1; FN_delta=-13; no per-sample F1 decrease; zero rescued abundance mass
hmp_raw_candidate_rescue_decision	diagnostic_only_not_default
cross_panel_candidate_rescue_panels	cami2_toy_mouse_gut samples5,6,7; hmp_airskin_gtdb_source_abundance samples0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28; hmp_gastrooral_gtdb_source_abundance samples0,6; cami3_toy_human_gut_gtdb_source_readmap samples0,1,2
cross_panel_candidate_rescue_sources	HMP candidates from /tmp/minco_hmp_raw_candidate_cache; Toy Mouse and CAMI3 candidates from emitted calibrated profile rows
cross_panel_candidate_rescue_threshold_grid	ANI_MIN=0.90,0.92,0.93,0.94,0.95,0.97; XNY_MIN=10,25,50,100,300,500,700; BREADTH_MIN=0.01,0.05,0.10,0.15,0.20,0.30,0.50; REAL_AF_MIN=0.10,0.30,0.50,0.70,0.90
cross_panel_candidate_rescue_scoring_mode	zero rescued abundance mass; F1 changes but official L1/Pearson are unchanged
cross_panel_candidate_rescue_result	best rule cross_rescue_ani0.9_xny100_br0.01_af0.7_zero_mass; mean_delta_F1=0.007319; TP_delta=19; FP_delta=1; FN_delta=-19; no sample-level or panel-level F1 decrease; baseline validation max_abs_delta=7.673861546209082e-13
cross_panel_candidate_rescue_decision	diagnostic_only_not_default; promising F1 candidate requiring wrapper/raw-side-channel validation and abundance/reporting policy
cross_panel_candidate_rescue_best_hits_rule	ANI>=0.90; XnY>=100; breadth>=0.01; real_af>=0.70; zero rescued abundance mass
cross_panel_candidate_rescue_best_hits_result	20 rescued species calls; TP=19; FP=1; rescued true-positive truth mass sum=57.219220395901104 percentage points across sample-specific truth profiles; only FP is s__Haemophilus influenzae_I in HMP airskin sample19
cross_panel_candidate_rescue_best_hits_decision	diagnostic_only_not_default; use for wrapper design and rescued-call abundance policy
candidate_rescue_wrapper_option	scripts/minco_profile_calibrated.py --candidate-rescue-switch off|emitted-ani90-xny100-br01-af70; default off
candidate_rescue_wrapper_rule	emitted-ani90-xny100-br01-af70 adds uncalled emitted-profile candidates with max(split,unique) ZIP-AAF ANI>=0.90, XnY>=100, breadth>=0.01, real AF>=0.70; raw MinCO ANI is not used; rescued rows receive zero abundance mass
candidate_rescue_wrapper_validation_scope	cached-table replay on Toy Mouse samples5/6/7, HMP airskin samples6/11, HMP gastrooral samples0/6, and CAMI3 source-readmap samples0/1/2
candidate_rescue_wrapper_validation_result	10 profiles; rescued_rows=7; zero_mass_violations=0; mean wrapper delta vs current F1=0.006471, L1_pp=-0.061420, Pearson=0.001163; max delta vs offline cross-panel rule counts=1, F1=0.0153453 because emitted-profile replay lacks HMP raw-cache side-channel rescues
candidate_rescue_wrapper_validation_decision	experimental_not_default; current universal-auto-exact default unchanged
raw_rescue_taxid_collapse_rule	Selected raw-side rule ANI>=0.90; XnY>=100; Ref_breadth>=0.01; Real_min_align_fraction>=0.70; candidates exclude GTDB species already called by current profile
raw_rescue_taxid_collapse_result	14 selected HMP raw-side candidates; TP=13; FP=1; collapse reasons: 7 taxid_collapsed_to_other_called_gtdb, 5 profile_taxid_absent, 2 taxid_profile_row_uncalled_or_other
raw_rescue_taxid_collapse_decision	diagnostic_only_not_default; next implementation target is accession-level or GTDB-species-level raw-side candidate surface, not another emitted taxid-row threshold
raw_side_candidate_surface_gastrooral_scope	Focused replay on HMP gastrooral samples0/6 using accession-level zero-mass rows appended to current MinCO profiles under /tmp/minco_raw_side_candidate_surface_hmp_gastrooral_20260629
raw_side_candidate_surface_gastrooral_result	Added 2 rows, zero_mass_violations=0; pooled F1=0.928571, TP=78, FP=9, FN=3; max delta vs offline raw-cache rule counts=0, F1=1.11e-16
raw_side_candidate_surface_gastrooral_decision	experimental_not_default; proves accession-level profile rows can represent raw-cache rescue calls on focused HMP gastrooral gap samples but needs integrated raw-side candidate surface and broader validation
raw_side_candidate_surface_hmp_scope	All cached HMP source-abundance replay using accession-level zero-mass rows appended to current MinCO profiles under /tmp/minco_raw_side_candidate_surface_hmp_20260629; airskin samples0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28 plus gastrooral samples0,6
raw_side_candidate_surface_hmp_result	26 profiles; added_rows=14; zero_mass_violations=0; max delta vs offline raw-cache rule counts=0, F1=1.11e-16; mean_delta_F1_vs_current=0.007757; airskin pooled F1=0.852821, TP=1043, FP=308, FN=52; gastrooral pooled F1=0.928571, TP=78, FP=9, FN=3
raw_side_candidate_surface_hmp_decision	experimental_not_default; proves accession-level profile rows can reproduce selected raw-cache HMP rescue calls but needs integrated raw-side candidate generation and nonzero abundance policy before default promotion
candidate_surface_integrated_switch	scripts/minco_profile_calibrated.py --candidate-surface-switch off|accession-ani90-xny100-br01-af70; default off. Optional --candidate-surface-taxmap supplies accession-level labels for the experimental output-only surface while --taxmap remains the model feature map.
candidate_surface_integrated_gastrooral_scope	Focused cached-table replay on HMP gastrooral samples0/6 from saved unique/split tables under /tmp/minco_current_code_hmp_gastrooral_20260627; outputs under /tmp/minco_candidate_surface_integrated_gastrooral_20260629
candidate_surface_integrated_gastrooral_result	With --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv, wrapper added 2 zero-mass rows and reproduced the focused postprocessor result: pooled F1=0.928571, TP=78, FP=9, FN=3, mean L1=48.986991 pp, mean Pearson=0.882277. Without the accession-level label taxmap, the same replay added 0 rows.
candidate_surface_integrated_gastrooral_decision	experimental_not_default; first in-wrapper proof for accession-level output surface, but focused-only and still needs nonzero abundance policy before default promotion
candidate_surface_integrated_hmp_scope	All cached HMP source-abundance integrated wrapper replay under /tmp/minco_candidate_surface_integrated_hmp_20260629 using normal model taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv plus candidate-surface taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv; airskin samples0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28 plus gastrooral samples0,6
