check	value	status	evidence
hmp_source_abundance_21sample_F1_beats_sylph	0.8676898955725246 > 0.960907813975629	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample14_0_1_3_4_5_6_7_11_13_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_21sample_L1_beats_sylph	21.499750312609976 < 4.602505000064701	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample14_0_1_3_4_5_6_7_11_13_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_22sample_F1_beats_sylph	0.8704900334689067 > 0.9614948219553184	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample9_0_1_3_4_5_6_7_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_22sample_L1_beats_sylph	21.955531218866085 < 4.742717683494834	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample9_0_1_3_4_5_6_7_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_23sample_F1_beats_sylph	0.8723401832424702 > 0.9606114153741409	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample10_0_1_3_4_5_6_7_9_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_23sample_L1_beats_sylph	21.90221283366134 < 5.022283783087933	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample10_0_1_3_4_5_6_7_9_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_24sample_F1_beats_sylph	0.8695844068735173 > 0.9609328477275184	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_24sample_L1_beats_sylph	22.538526482578405 < 5.356745059601248	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_gastrooral_source_abundance_truth_quality_release_grade	mean mapped truth abundance pct=99.2210	pass	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_raw_default_r232_source_abundance_quality.tsv
hmp_gastrooral_source_abundance_F1_beats_sylph	0.9195678271308523 > 0.9552995391705069	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_raw_default_r232_source_abundance_summary.tsv
hmp_gastrooral_source_abundance_L1_beats_sylph	48.98699110632436 < 5.063129406373072	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_raw_default_r232_source_abundance_summary.tsv
mouse57_F1_beats_sylph	0.8938387600398774 > 0.9528057837924289	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/toymouse_current_refresh_summary.tsv
mouse57_abundance_L1_beats_sylph	13.76783712292629 < 6.73152294577699	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/toymouse_current_refresh_summary.tsv
marine_domain_recipe_F1_beats_sylph	0.847097203722751 > 0.8290469716811065	pass	research/experiments/2026-06-25_cami2_marine_samples3_5_minco_vs_sylph/summary_samples0_5.tsv
marine_domain_recipe_is_not_universal_default_evidence	older S1000 unique ZIP-AAF recipe, local species-taxid scoring	known_gap	research/experiments/2026-06-25_cami2_marine_samples3_5_minco_vs_sylph/summary_samples0_5.tsv
marine_gtdb_transfer_F1_beats_sylph	0.730691061437881 > 0.7035039776559944	pass	research/experiments/2026-06-27_universal_strategy_decision/results/marine_gtdb_taxid_transfer_summary.tsv
marine_gtdb_transfer_abundance_L1_beats_sylph	50.8945065835943 < 73.86497052856129	pass	research/experiments/2026-06-27_universal_strategy_decision/results/marine_gtdb_taxid_transfer_summary.tsv
marine_gtdb_transfer_truth_quality_release_grade	mean scored Bacteria/Archaea mapped truth mass pct=74.4053	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/marine_gtdb_taxid_transfer_quality.tsv
plant_calibrated_gate_F1_beats_sylph_slightly	0.615014782839021 > 0.5999925716183384	pass	research/experiments/2026-06-25_cami2_plant_samples3_5_minco_vs_sylph/summary.tsv
plant_current_exactsplit_F1_beats_sylph_slightly	0.6120155806430317 > 0.5999925716183384	pass	research/experiments/2026-06-27_universal_strategy_decision/results/plant_holdout_exactsplit_current_summary.tsv
plant_current_exactsplit_is_not_release_grade	cached current exact-split outputs; plant bacteria-scope scorer; Sylph r226/default comparison	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/plant_holdout_exactsplit_current_summary.tsv
plant_gtdb_transfer_truth_quality_release_grade	mean mapped source abundance pct=20.5655	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/plant_gtdb_transfer_feasibility_summary.tsv
strain_current_exactsplit_F1_beats_sylph	0.6287371239491623 > 0.5273739905318853	pass	research/experiments/2026-06-27_universal_strategy_decision/results/strain_holdout_exactsplit_current_summary.tsv
strain_current_exactsplit_L1_beats_sylph	0.7597788927390331 < 0.20300030921542742	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/strain_holdout_exactsplit_current_summary.tsv
strain_current_exactsplit_is_not_release_grade	cached current exact-split outputs; train12/default-equivalent calibration includes strainmadness rows; local scorer; Sylph r226/default comparison	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/strain_holdout_exactsplit_current_summary.tsv
strain_gtdb_transfer_truth_quality_release_grade	mean mapped source abundance pct=1.5755	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/strain_gtdb_transfer_feasibility_summary.tsv
plant_c_profile_direct_recall_gap	0.17551945357633014 < 0.615014782839021	documented_direct_profile_gap	research/experiments/2026-06-25_cami2_plant_samples3_5_minco_vs_sylph/summary.tsv
hmp_pilot_sylph_F1_beats_calibrated	0.9015873015873016 > 0.7799558931634403	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-25_cami2_hmp_pilot_default_strategy/summary.tsv
hmp_pilot_unique_direct_beats_calibrated	0.8329962925513987 > 0.7799558931634403	known_gap	research/experiments/2026-06-25_cami2_hmp_pilot_default_strategy/summary.tsv
hmp_gastrooral_current_universal_improves_old_calibrated_F1	0.8616464963394592 > 0.7799558931634403	pass	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_current_universal_summary.tsv; research/experiments/2026-06-25_cami2_hmp_pilot_default_strategy/summary.tsv
hmp_gastrooral_current_universal_beats_unique_direct_F1	0.8616464963394592 > 0.8329962925513987	pass	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_current_universal_summary.tsv
hmp_gastrooral_current_universal_F1_beats_sylph	0.8616464963394592 > 0.9015873015873017	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_current_universal_summary.tsv
hmp_gastrooral_current_universal_L1_beats_sylph	0.7661912197893734 < 0.3116283347743381	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_gastrooral_current_universal_summary.tsv
cami3_c_profile_direct_below_prior_offline_gate	0.284080 < 0.555312	documented_direct_profile_gap	research/experiments/2026-06-25_cami3_toygut_more_minco_vs_sylph/summary.tsv
cami3_c_profile_direct_F1_beats_sylph	0.284080 > 0.603485	documented_direct_profile_gap	research/experiments/2026-06-25_cami3_toygut_more_minco_vs_sylph/summary.tsv
cami3_source_readmap_extension_cache_blocks_release_extension	post_recovery_scored;candidate_vs_sylph=minco_F1_wins=0/3;minco_L1_wins=0/3;refined_effect=improved=0;worsened=0;mean_L1_delta_pp=0.000000000	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_source_readmap_extension_after_recovery_audit.tsv
all_holdout_panels_release_grade_gtdb	False	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/holdout_bundle_summary.tsv
